response,relation,condition3
0.958464111522189,poss-could,speeded
0.9121838843684638,poss-may,speeded
0.8822668935316706,poss-might,speeded
0.7645978511118406,poss-ought,speeded
0.7392138667870084,poss-should,speeded
0.9153489442654303,poss-could,reflective
0.8456445176075815,poss-may,reflective
0.7744439301847773,poss-might,reflective
0.6562877507420759,poss-ought,reflective
0.5965793682290045,poss-should,reflective
0.9288349659194496,could-may,speeded
0.907083748078418,could-might,speeded
0.8005003918557222,could-ought,speeded
0.7744593649485356,could-should,speeded
0.8888645394441003,could-may,reflective
0.8555190581957361,could-might,reflective
0.7597537270660693,could-ought,reflective
0.7129934717873674,could-should,reflective
0.9550163610993213,may-might,speeded
0.9000416998963567,may-ought,speeded
0.8776113671731071,may-should,speeded
0.8739716812682423,may-might,reflective
0.8344363337451137,may-ought,reflective
0.8005101964069612,may-should,reflective
0.9209451347268118,might-ought,speeded
0.89644125819668,might-should,speeded
0.8828751012084236,might-ought,reflective
0.8292363508631864,might-should,reflective
0.9633390478486967,ought-should,speeded
0.8933818976608804,ought-should,reflective
